1   2      6  20180117    129.67     31.25  11 1  3003                  1034               2130617
2    1.0 1   18.0300 1   34.5300 1
2    3.0 1   18.0300 1   34.5700 1
2   40.0 1   17.8000 1   34.5900 1
2   60.0 1   17.7100 1   34.5900 1
2  100.0 1   16.7000 1   34.5500 1
2  149.0 1   15.7900 1   34.5300 1
1   2     16  20180117    129.32     31.25  11 1  3003                  1034               2130626
2    1.0 1   18.6400 1   34.5800 1
2  100.0 1   18.4900 1   34.6000 1
2  119.0 1   18.4300 1   34.6000 1
2  130.0 1   18.3400 1   34.5900 1
2  139.0 1   17.5300 1   34.5600 1
2  143.0 1   17.2400 1   34.5600 1
2  162.0 1   16.9300 1   34.5600 1
2  167.0 1   16.8100 1   34.5600 1
2  177.0 1   16.0100 1   34.5200 1
2  200.0 1   14.6500 1   34.5000 1
2  305.0 1   11.3400 1   34.3700 1
2  333.0 1   10.9900 1   34.3500 1
2  400.0 1    9.1600 1   34.3200 1
2  484.0 1    7.9200 1   34.2900 1
2  494.0 1    7.8300 1   34.3000 1
2  789.0 1    5.4200 1   34.3300 1
1   2     17  20180117    129.00     31.25  11 1  3003                  1034               2130663
2    1.0 1   20.5500 1   34.6800 1
2   25.0 1   20.5000 1   34.6700 1
2   28.0 1   19.8100 1   34.5900 1
2   49.0 1   18.9800 1   34.5900 1
2   85.0 1   18.6200 1   34.6100 1
2  100.0 1   18.3500 1   34.5800 1
2  125.0 1   18.0900 1   34.5700 1
2  153.0 1   16.9500 1   34.5400 1
2  181.0 1   16.2000 1   34.5700 1
2  200.0 1   15.3600 1   34.5400 1
2  212.0 1   14.6800 1   34.5000 1
2  274.0 1   13.2000 1   34.4400 1
2  285.0 1   12.3100 1   34.3900 1
2  400.0 1    8.9400 1   34.3000 1
2  421.0 1    8.2300 1   34.2900 1
2  455.0 1    7.7800 1   34.3000 1
2  688.0 1    5.9500 1   34.3200 1
1   2     13  20180117    128.50     31.25  11 1  3003                  1034               2130683
2    1.0 1   20.8100 1   34.7700 1
2    3.0 1   20.8100 1   34.6800 2
2   45.0 1   20.7800 1   34.6700 1
2   52.0 1   20.0300 1   34.6000 1
2   62.0 1   19.4500 1   34.5000 1
2   73.0 1   19.2600 1   34.6000 1
2  100.0 1   18.6900 1   34.6000 1
2  200.0 1   15.7800 1   34.5500 1
2  251.0 1   13.7400 1   34.4700 1
2  274.0 1   12.2600 1   34.3800 1
2  281.0 1   11.9300 1   34.3700 1
2  400.0 1    9.1400 1   34.3000 1
2  470.0 1    7.5500 1   34.3000 1
1   2     14  20180117    128.00     31.25  11 1  3003                  1034               2130772
2    1.0 1   19.7300 1   34.7400 1
2    5.0 1   19.7300 1   34.6300 2
2   35.0 1   19.7200 1   34.6200 1
2   41.0 1   19.2500 1   34.5500 1
2   74.0 1   18.9200 1   34.5200 1
2   79.0 1   18.7900 1   34.4900 1
2   85.0 1   18.2800 1   34.4200 1
2   95.0 1   17.9000 1   34.4500 1
2  100.0 1   17.5300 1   34.5200 1
2  105.0 1   17.3200 1   34.5600 1
2  117.0 1   16.8700 1   34.5600 1
2  127.0 1   15.3500 1   34.4800 1
2  131.0 1   14.5000 1   34.4800 1
2  147.0 1   14.4100 1   34.4900 1
1   2     21  20180117    128.50     31.62  11 1  3003                  1034               2130857
2    1.0 1   20.5200 1   34.6800 1
2   13.0 1   20.4500 1   34.6700 1
2   26.0 1   20.0900 1   34.6600 1
2   34.0 1   19.9000 1   34.6100 1
2   40.0 1   19.7700 1   34.6100 1
2   54.0 1   19.4400 1   34.5700 1
2  100.0 1   19.2500 1   34.5900 1
2  123.0 1   19.1900 1   34.6000 1
2  147.0 1   18.1900 1   34.6600 1
2  157.0 1   17.4200 1   34.6400 1
2  180.0 1   16.7100 1   34.6500 1
2  185.0 1   16.6400 1   34.6300 1
2  200.0 1   14.9000 1   34.5100 1
