2  111.5 1    2.6400 1   34.0360 1
2  115.0 1    2.4900 1   34.0330 1
2  119.3 1    2.3500 1   34.0290 1
2  122.5 1    2.1900 1   34.0270 1
2  125.4 1    2.0500 1   34.0230 1
2  132.3 1    1.9500 1   34.0190 1
2  139.2 1    1.8400 1   34.0170 1
2  150.2 1    1.7400 1   34.0100 1
2  154.6 1    1.6400 1   34.0030 1
2  166.5 1    1.5400 1   34.0030 1
2  178.7 1    1.4400 1   33.9960 1
2  200.6 1    1.3500 1   33.9920 1
2  217.4 1    1.2500 1   33.9850 1
2  218.6 1    1.1400 1   33.9830 1
2  238.4 1    1.0400 1   33.9830 1
2  266.8 1    0.9400 1   33.9790 1
2  352.3 1    0.8500 1   33.9790 1
2  391.8 1    0.7400 1   33.9750 1
2  512.1 1    0.6100 1   33.9950 1
2  629.8 1    0.5300 1   34.0670 1
2  688.6 1    0.4400 1   34.1360 1
